name,likes,retweet,reply's,tweeted
DailyEnt.Xpress, 178, 162,57,"Wow RRR- that's the... most, film of 2022! #RRR    #Bollywood    #MaleFriendship"
The NOMAD Doctor ,6,0,0,I’m a bit late to the party but   is frickin’ AWESOME and available on      #RRRMovie    #bollywood    #netflix
Jason Ragosta, 2242, 317,9,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
ANMOL JAMWAL, 1710, 143,46,
IndiaToday, 720, 178,26,Actor 
Adivi Sesh, 4574, 986,26,
The NOMAD Doctor ,6,0,0,
IndiaToday, 721, 178,26,"Actor  #Chiranjeevi  celebrates & honours  #KamalHaasan  for  #Vikram 's success along with   #Bollywood  's bhaijaan,  #SalmanKhan  & filmmaker  #LokeshKanagaraj  at his residence last night."
Jyothi Jha, 1536, 294,7,The state of   #bollywood   no wonder it’s dying - Another  #Bindrakhia  hook ruined
Rahul Khurana, 128,35,0,"A Muslim actress namd Nushrat Bharucha giving gyan to use condoms!

To whom? People of her community seen rioting on streets yesterday? Nah!

It's for Hindus so we facilitate our own future genocide! Isn't Muslims enjoying Indian privileges shd set the record straight?   #Bollywood"
Swapnila Gupta, 127, 58,3, (Jacqueline Fernandez) fashion.  #jacquelinefernandez   #fashion   #fashionstyle    #bollywood    #bollywoodstyle   #bollywoodfashion   #saree   #sareefashion
Sujil Kallissery Hrx, 94,11,0,
IndiaToday, 722, 179,26,
ETC Bollywood,0,0,0,
Karan Talwar,0,0,0,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
ANMOL JAMWAL, 2059, 336,52,His Smile   #HrithikRoshan   #Hrithik    #Bollywood
Hrithik Roshan FC,0,0,0,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
